varname	varlabel
q10_32_4	Q10-32-4. Šta mislite o muškarcima koji plaæaju seksualne usluge? Mislim da je t
q10_32_5	Q10-32-5. Šta mislite o muškarcima koji plaæaju seksualne usluge? Mislim da to è
q10_32_6	Q10-32-6. Šta mislite o muškarcima koji plaæaju seksualne usluge? Mislim da je s
q10_33	Q10-33. Mislite li da bi trebalo biti legalno kupovati seksualne usluge?
q10_34	Q10-34. Mislite li da bi trebalo biti legalno raditi kao osoba koja pruža seksua
q10_35	Q10-35. vaše djevojke ili partnerice - zapoèele vezu zato što: Osigurali joj hra
q10_36	Q10-36. vaše djevojke ili partnerice - zapoèele vezu zato što: Platili joj trošk
q10_37	Q10-37. vaše djevojke ili partnerice - zapoèele vezu zato što: Osigurali joj smj
q10_38	Q10-38. vaše djevojke ili partnerice - zapoèele vezu zato što: Osigurali joj koz
q10_39	Q10-39. vaše djevojke ili partnerice - zapoèele vezu zato što: Pružili joj stvar
q10_40	Q10-40. vaše djevojke ili partnerice - zapoèele vezu zato što: Pružili joj novac
q10_41	Q10-41. vaše djevojke ili partnerice - zapoèele vezu zato što: Osigurali joj bil
q10_42	Q10-42. vaše djevojke ili partnerice - zapoèele vezu zato što: Vršili popravke u
q10_43	"Q10-43. bilo koje djevojke/žene - stupile u odnos zato što: Osigurali joj hranu,"
q10_44	Q10-44. bilo koje djevojke/žene - stupile u odnos zato što: Platili joj troškove
q10_45	Q10-45. bilo koje djevojke/žene - stupile u odnos zato što: Osigurali joj smješt
q10_46	Q10-46. bilo koje djevojke/žene - stupile u odnos zato što: Osigurali joj kozmet
q10_47	Q10-47. bilo koje djevojke/žene - stupile u odnos zato što: Pružili joj stvari z
q10_48	Q10-48. bilo koje djevojke/žene - stupile u odnos zato što: Pružili joj novac da
q10_49	Q10-49. bilo koje djevojke/žene - stupile u odnos zato što: Osigurali joj bilo š
q10_50	Q10-50. bilo koje djevojke/žene - stupile u odnos zato što: Vršili popravke u ku
q10_51_1	"Q10-51.: Da, sa ženom koja pruža seksualne usluge"
q10_51_2	"Q10-51.: Da, sa muškarcem koji pruža seksualne usluge"
q10_51_3	"Q10-51.: Da, sa transvestitom"
q10_51_4	Q10-51.: Ne
q10_51_5	Q10-51.: odbija - bez odgovora
q10_52	Q10-52. Jeste li ikada imali seksualne odnose s prostitutkom ili osobom koja pru
q10_53	Q10-53. Jeste li ikada imali seksualne odnose s prostitutkom ili osobom koja pru
q10_54	Q10-54. Kada biste znali da je prostitutka ili osoba koja pruža seksualne usluge
q11_1	Q11-1. U kojoj mjeri posjeæuješ bogomolju?
q11_2	Q11-2. Koliko èesto se SAM moliš ili èitaš vjerske spise?
q11_3	Q11-3. Imao sam mistièni doživljaj i iskustvo Božijeg postojanja
q11_4	Q11-4. Moj èitav život je zasnovan na vjeri u Boga
q11_5	Q11-5. Veoma se trudim da prenesem svoju religioznost na sve druge životne postu
q11_6	Q11-6. Da li imaš nekoga od prijatelja ko je druge nacionalnosti?
q11_7	Q11-7. Da li si u braku sa osobom iste nacionalnosti?
q11_8	Q11-8. Da li imaš rodbine koja je druge nacije?
q11_9	Q11-9. Veoma mi je važna moja etnièka pripadnost. (Zaokruži koliko si saglasan s
q11_10	"Q11-10. Ljudima drugih nacija u BiH nikad više ne treba vjerovati, èak i ako se "
q11_11	Q11-11. Druge nacije su stalno kroz istoriju smišljale planove protiv mog naroda
q11_12	Q11-12. Najugodnije se osjeæam u onom društvu u kojem su svi pripadnici moje nac
q11_13	Q11-13. Narod kojem pripadam je pošteniji od drugih naroda u BiH. (Zaokruži koli
q11_14	Q11-14. Ne bi mi se svidjelo da radim na poslu zajedno sa ljudima neke druge nac
q11_15	Q11-15. Mogao bih da budem veliki prijatelj sa ljudima drugih nacija u BiH (Zaok
q11_16	Q11-16. Ne bih pristao da stupim u brak sa pripadnicima drugih nacija u BiH. (Za
q11_17	Q11-17. Život u ratom zahvaæenim podruèjima (U ovom dijelu upitnika navedena je 
q11_18	Q11-18. Privremeno napuštanje porodiène kuæe usljed ratnih zbivanja (U ovom dije
q11_19	Q11-19. Trajno izbjeglištvo i preseljenje usljed ratnih zbivanja (U ovom dijelu 
q11_20	Q11-20. Gubitak zaposlenja zbog etnièke pripadnosti (U ovom dijelu upitnika nave
q11_21	Q11-21. Direktno uèestvovanje u ratnim borbama (U ovom dijelu upitnika navedena 
q11_22	Q11-22. Ranjavanje ili zarobljavanje bliske osobe (U ovom dijelu upitnika navede
q11_23	Q11-23. Svjedoèio seksualnom nasilju tokom ratnih zbivanja (U ovom dijelu upitni
q11_24	Q11-24. Smrt bliske osobe (U ovom dijelu upitnika navedena je lista životnih dog
q11_25	Q11-25. Bio sam ranjen/a ili zarobljen/a tokom rata (U ovom dijelu upitnika nave
katgodine	"kategorije godina , do 24, 25-34, 35-49, 50-59"
filter__	(q10_51_1 = 1) | (q10_51_2 = 1) | (q10_51_3 = 1) (FILTER)
uknasilje	ukupno rodno nasilje 8.1.-8.5.
ukgem	
ukrel	
recq3_8	
recq3_9	
recq3_10	
recq3_11	
recq3_12	
recq3_13	
recq3_14	
recq3_15	
recq3_16	
recq3_17	
recq3_19	
recq3_20	
recq3_21	
recq3_22	"svi osim 3.18: 1 i2 u 0, a 3 u 1"
req3_18	"1 i 2 u 1, a 3 u 0"
sumarecgem	sabrano svih 15 ajtema
kateggem	"niski gem je 0-5,33; srednji 5,33-10,66; visoki 10,66-15"
UKrat	ukupno ratno iskustvo
ukzadbrakom	ukupno zadovoljstvo brakom
katobraz	"kategorije obrazovanja, 0 je bez škole, 1 je osnovna, 3 je srednja, 4 su više"
katporodjaj	"12,3 je 1, 4-14 je 2"
ukbrigaodjeci	
REKradnistres	rekodirani stres: 0=ne; 1=djelomièno; 2=da
kat2obraz	bez skole pripojeno osnovnoj
ratukupno	zbirna varijabla rat ukupno
rec1115	
uketnicki	ukupni etnicki stavovi
katbrigaodjetetu	"kategroije svakodnevne brige o djetetu , muskaric koji brinu (7= 1,2,3) i oni ko"
ukhomofobija	"homofob manji skor, veci skor manja homofobija"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
