,varname,q_no,question_eng,var_categories_georgian
239,_v243,Q10.4,Does Georgia exist?,"Yes, I do not know, no"
240,_v244,Q10.5,Whether it comes from the blood,"No, I do not know, yes, nan"
241,_v245,Q10.6,"Do you support quotas, �","No, yes, no answer"
242,_v246,Q10.7,"Do you support the law, m�","No, yes, no answer"
243,_v247,Q10.8,What do you think it means / what,"It is associated with equal rights for men and women, I do not know, it is associated with equal rights in the family, freedom, it is associated with the representation of women's rights, it is associated with less feminine women's activities, it is associated with feminism, it is associated with feminism, refusal, freedom of speech, oppression, Mutual understanding is a disease, love, stability, harmony, interference in family affairs, a normal state"
244,_v248,Q10.9,Parents' house,"Most of the property should be given to the boy, the property should be left entirely to the boy, it should be evenly distributed between the girl and the boy, the property should be left entirely to the girl, most of it should be transferred to the girl, no answer"
245,_v249,Q10.10,Land,"Should be evenly distributed between the girl and the boy, most of the property should be given to the boy, the property should be left entirely to the boy, no answer should be given, most of it should be given to the girl, the property should be left entirely to the girl"
246,_v250,Q10.11,Jewelry,"Should be distributed equally between girl and boy, most of it should be given to girl, property should be left entirely to boy, most should be given to boy, property should be left entirely to girl, refuse to answer"
247,_v251,Q10.12,"Money, car, other movable �","Most of it should be given to the boy, it should be evenly distributed between the girl and the boy, most of it should be given to the girl, the property should be left entirely to the boy, refuse to answer, the property should be left entirely to the girl"
248,_v252,Q10.13,Family business,"Should be evenly distributed between the girl and the boy, most of the property should be given to the boy, the property should be left entirely to the boy, no answer should be given, most of it should be given to the girl, the property should be left entirely to the girl"
249,_v253,Q10.14,Have you ever attended,"Never, sometimes, refuse to answer, often, very often"
250,_v254,Q10.15,Whether to address you publicly,"Never, refuse to answer, sometimes, often, very often, nan"
251,_v255,Q10.16,Will you ask the question Saj,"Never, sometimes, refuse to answer, often, very often, nan"
252,_v256,Q10.17,Have you worked in Adg. Organization,"Never, sometimes, refuse to answer, often, very often, nan"
253,_v257,Q10.18,Have you done any sh,"Never, refuse to answer, sometimes, often, very often"
254,_v258,Q10.19,Have you signed anything,"Never, sometimes, refuse to answer, often, very often"
255,_v259,Q10.20,Express your opinion,"Never, sometimes, often, too often, refuse to answer"
