,varname,varlabel,q_no,question_bosnian,question_eng
155,q5_22,"Q5-22. Jeste li vi lično, ili oboje zatražili pomoć, na primjer, porodično savje",Q5-22.,"Jeste li vi lično, ili oboje zatražili pomoć, na primjer, porodično savje","Have you personally, or both, asked for help, for example, family advice"
156,q5_23,Q5-23. Kako biste okarakterisali vaš zajednički život s partnerkom/partnerom u c,Q5-23.,Kako biste okarakterisali vaš zajednički život s partnerkom/partnerom u c,How would you characterize your life together with your partner in c
157,q5_24,Q5-24. Kada ste zadnji put razgovarali s vašom partnerkom/partnerom o problemima,Q5-24.,Kada ste zadnji put razgovarali s vašom partnerkom/partnerom o problemima,When was the last time you talked to your partner about problems
158,q5_25,Q5-25. Kako biste opisali seksualnu vezu sa vašom partnerkom/partnerom?,Q5-25.,Kako biste opisali seksualnu vezu sa vašom partnerkom/partnerom?,How would you describe your sexual relationship with your partner?
159,q5_26,Q5-26. Koliko često ste koristili prezervative (kondome) tokom seksa u posljednj,Q5-26.,Koliko često ste koristili prezervative (kondome) tokom seksa u posljednj,How often have you used condoms during sex in the last
160,q5_27,"Q5-27. Uključujući stalne i povremene partnerke/partnere, s koliko ste partnerki",Q5-27.,"Uključujući stalne i povremene partnerke/partnere, s koliko ste partnerki","Including permanent and occasional partners, how many partners you are with"
161,q5_28,"Q5-28. Izuzimajući vašu sadašnju vezu, sa koliko ste žena bili u braku/zajedno ž",Q5-28.,"Izuzimajući vašu sadašnju vezu, sa koliko ste žena bili u braku/zajedno ž","Excluding your current relationship, how many women have you been married to together?"
162,q5_29,"Q5-29. Izuzimajući vašu sadašnju vezu, sa koliko ste muškaraca živjeli s kojima ",Q5-29.,"Izuzimajući vašu sadašnju vezu, sa koliko ste muškaraca živjeli s kojima ","Excluding your current relationship, how many men have you lived with"
163,q5_30,Q5-30. Kada ste zadnji put imali seksualni odnos s kim je to bilo?,Q5-30.,Kada ste zadnji put imali seksualni odnos s kim je to bilo?,When was the last time you had sex with anyone?
164,q5_30dr,Q5-30dr. Ostalo (navesti),Q5-30dr.,Ostalo (navesti),Other (specify)
165,q5_32,Q5-32. Veoma sam zadovoljan svojim brakom,Q5-32.,Veoma sam zadovoljan svojim brakom,I am very happy with my marriage
166,q5_33,Q5-33. Smatram da moj brak funkcioniše bolje od mnogih drugih.,Q5-33.,Smatram da moj brak funkcioniše bolje od mnogih drugih.,I find that my marriage works better than many others.
167,q5_34,Q5-34. Kada bih se opet ženio izabrao bih istog partnera,Q5-34.,Kada bih se opet ženio izabrao bih istog partnera,When I would get married again I would choose the same partner
168,q5_35,Q5-35. U mom braku dominiraju lijepi trenuci.,Q5-35.,U mom braku dominiraju lijepi trenuci.,My marriage is dominated by beautiful moments.
169,q5_36,Q5-36. Moj brak je oaza mira i sreće,Q5-36.,Moj brak je oaza mira i sreće,My marriage is an oasis of peace and happiness
170,q6_1,Q6-1. Postoji li u vašoj zemlji zakon koji garantuje odmor za očeve kada se dije,Q6-1.,Postoji li u vašoj zemlji zakon koji garantuje odmor za očeve kada se dije,Is there a law in your country that guarantees paternity leave when sharing
171,q6_2,"Q6-2. Ako da, koliko dugo traje?",Q6-2.,"Ako da, koliko dugo traje?","If so, how long does it take?"
172,q6_3,Q6-3. Smatrate li da bi trudničko bolovanje za očeve trebalo biti zagarantovano ,Q6-3.,Smatrate li da bi trudničko bolovanje za očeve trebalo biti zagarantovano ,Do you think that maternity leave for fathers should be guaranteed
173,q6_4,Q6-4. Koliko dugo traje trudničko bolovanje majki kada rode djecu?,Q6-4.,Koliko dugo traje trudničko bolovanje majki kada rode djecu?,How long does a mother's maternity leave last when they give birth to children?
174,q6_5,Q6-5. Smatrate li da bi trudničko bolovanje za majke trebalo biti zagarantovano ,Q6-5.,Smatrate li da bi trudničko bolovanje za majke trebalo biti zagarantovano ,Do you think that maternity leave for mothers should be guaranteed
175,q6_6,Q6-6. Smatrate li da zakoni koji u vašoj zemlji regulišu razvode/ rastave daju p,Q6-6.,Smatrate li da zakoni koji u vašoj zemlji regulišu razvode/ rastave daju p,Do you think that the laws that regulate divorce in your country give p
176,q6_7,"Q6-7. U slučaju razvoda, ko ima veće šanse da dobije starateljstvo nad djetetom ",Q6-7.,"U slučaju razvoda, ko ima veće šanse da dobije starateljstvo nad djetetom ","In case of divorce, who has a better chance of getting custody of the child"
177,q6_8,Q6-8. Je li zajedničko starateljstvo često u vašoj zemlji?,Q6-8.,Je li zajedničko starateljstvo često u vašoj zemlji?,Is shared custody common in your country?
178,q6_9,Q6-9. Smatrate li da su zakoni vezani za podršku za dijete (alimentaciju) u vašo,Q6-9.,Smatrate li da su zakoni vezani za podršku za dijete (alimentaciju) u vašo,Do you think the laws are related to child support (alimony) in yours
179,q6_10,Q6-10. Postoje li zakoni u vašoj zemlji koji se tiču utvrđivanja očinstva u sluč,Q6-10.,Postoje li zakoni u vašoj zemlji koji se tiču utvrđivanja očinstva u sluč,Are there any laws in your country regarding establishing paternity in a case
180,q6_11_1,Q6-11.: Zahtjeva DNK test,Q6-11.:,Zahtjeva DNK test,Requires DNA test
181,q6_11_2,Q6-11.: Službena registracija kao oca djeteta,Q6-11.:,Službena registracija kao oca djeteta,Official registration as the father of the child
182,q6_11_3,Q6-11.: Zahtjev za alimentacijom,Q6-11.:,Zahtjev za alimentacijom,Alimony claim
183,q6_11_4,Q6-11.: Ne znam,Q6-11.:,Ne znam,I do not know
184,q6_12,Q6-12. Šta mislite o zakonu koji se odnosi na utvrđivanje očinstva?,Q6-12.,Šta mislite o zakonu koji se odnosi na utvrđivanje očinstva?,What do you think about the law related to establishing paternity?
185,q6_13,Q6-13. Postoji li u vašoj zemlji zakon koji reguliše nasilje nad ženama?,Q6-13.,Postoji li u vašoj zemlji zakon koji reguliše nasilje nad ženama?,Is there a law in your country that regulates violence against women?
186,q6_14,Q6-14. Previše olakšava ženi da optuži muškarca za nasilje. (Šta mislite o zakon,Q6-14.,Previše olakšava ženi da optuži muškarca za nasilje. (Šta mislite o zakon,It makes it too easy for a woman to accuse a man of violence. (What do you think about the law
187,q6_15,Q6-15. Zakon je prestrog. (Šta mislite o zakonu koji reguliše nasilje nad ženama,Q6-15.,Zakon je prestrog. (Šta mislite o zakonu koji reguliše nasilje nad ženama,The law is too strict. (What do you think about the law that regulates violence against women
188,q6_16,Q6-16. Zakon nije dovoljno strog. (Šta mislite o zakonu koji reguliše nasilje na,Q6-16.,Zakon nije dovoljno strog. (Šta mislite o zakonu koji reguliše nasilje na,The law is not strict enough. (What do you think about the law that regulates violence on
189,q6_17,Q6-17. Ne štite dovoljno žrtvu nasilja. (Šta mislite o zakonu koji reguliše nasi,Q6-17.,Ne štite dovoljno žrtvu nasilja. (Šta mislite o zakonu koji reguliše nasi,They do not protect the victim of violence enough. (What do you think about the law that regulates ours
190,q6_18,Q6-18. Ženu izlaže dodatnoj stigmatizaciji i bolu. (Šta mislite o zakonu koji re,Q6-18.,Ženu izlaže dodatnoj stigmatizaciji i bolu. (Šta mislite o zakonu koji re,It exposes the woman to additional stigmatization and pain. (What do you think about the law that re
191,q6_19,Q6-19. Postoje li u vašoj državi zakoni/politike koje štite homoseksualne osobe ,Q6-19.,Postoje li u vašoj državi zakoni/politike koje štite homoseksualne osobe ,Are there laws / policies in your country that protect homosexuals?
192,q6_20,Q6-20. Što mislite o takvim zakonima/politikama?,Q6-20.,Što mislite o takvim zakonima/politikama?,What do you think about such laws / policies?
193,q6_21,Q6-21. Postoje li u vašoj zemlji zakoni/politike koje omogućavaju registrovanu z,Q6-21.,Postoje li u vašoj zemlji zakoni/politike koje omogućavaju registrovanu z,Are there any laws / policies in your country that allow registered z
194,q6_22,Q6-22. Što mislite o tim zakonima/politikama?,Q6-22.,Što mislite o tim zakonima/politikama?,What do you think about these laws / policies?
195,q6_23,Q6-23. Jeste li ikada čuli za bilo kakve kampanje u vašem okruženju koje se bave,Q6-23.,Jeste li ikada čuli za bilo kakve kampanje u vašem okruženju koje se bave,Have you ever heard of any campaigns in your environment that deal with it
196,q6_24,Q6-24. Jeste li ikada vidjeli reklamu ili javnu obavijest na televiziji o muškom,Q6-24.,Jeste li ikada vidjeli reklamu ili javnu obavijest na televiziji o muškom,Have you ever seen an advertisement or public announcement on television about a man
197,q6_25,Q6-25. Jeste li ikada učestvovali u nekim aktivnostima u vašoj zajednici koje su,Q6-25.,Jeste li ikada učestvovali u nekim aktivnostima u vašoj zajednici koje su,Have you ever participated in any activities in your community that are
198,q6_26,Q6-26. Jeste li čuli za bilo kakve kampanje ili aktivnosti u vašem okruženju koj,Q6-26.,Jeste li čuli za bilo kakve kampanje ili aktivnosti u vašem okruženju koj,Have you heard of any campaigns or activities in your environment that
199,q6_27,Q6-27. Jeste li učestvovali u aktivnostima u vašoj zajednici ili radnom mjestu k,Q6-27.,Jeste li učestvovali u aktivnostima u vašoj zajednici ili radnom mjestu k,Have you participated in activities in your community or workplace k
200,q6_28,Q6-28. Jeste li ikada čuli za bilo kakvu kampanju u vašoj zajednici ili radnom m,Q6-28.,Jeste li ikada čuli za bilo kakvu kampanju u vašoj zajednici ili radnom m,Have you ever heard of any campaign in your community or working m
201,q7_1,Q7-1. Imate li BIOLOŠKO dijete ili djecu?,Q7-1.,Imate li BIOLOŠKO dijete ili djecu?,Do you have a BIOLOGICAL child or children?
202,q7_2,Q7-2. Koliko biološke djece imate?,Q7-2.,Koliko biološke djece imate?,How many biological children do you have?
203,q7_3,Q7-3. Živi li bilo koje od vaše biološke djece U VAŠEM DOMAĆINSTVU?,Q7-3.,Živi li bilo koje od vaše biološke djece U VAŠEM DOMAĆINSTVU?,Do any of your biological children live in YOUR HOUSEHOLD?
204,q7_4,Q7-4. Koliko ukupno djece (biloške i ne-biološke) živi s vama U VAŠEM DOMAĆINSTV,Q7-4.,Koliko ukupno djece (biloške i ne-biološke) živi s vama U VAŠEM DOMAĆINSTV,How many total children (biological and non-biological) live with you IN YOUR HOUSEHOLD
205,q7_5,Q7-5. Ko u vašoj porodici obično donosi važne odluke vezane uz zdravlje i liječe,Q7-5.,Ko u vašoj porodici obično donosi važne odluke vezane uz zdravlje i liječe,Who in your family usually makes important health decisions and treats
206,q7_6,Q7-6. Ko u vašoj porodici obično donosi važne odluke vezane uz zdravlje i liječe,Q7-6.,Ko u vašoj porodici obično donosi važne odluke vezane uz zdravlje i liječe,Who in your family usually makes important health decisions and treats
207,q7_7,Q7-7. Gdje je rođeno vaše posljednje dijete,Q7-7.,Gdje je rođeno vaše posljednje dijete,Where your last child was born
208,q7_8,Q7-8. Gdje ste bili kada se rodilo vaše posljednje dijete?,Q7-8.,Gdje ste bili kada se rodilo vaše posljednje dijete?,Where were you when your last child was born?
209,q7_8dr,Q7-8dr. Drugo (navesti),Q7-8dr.,Drugo (navesti),Other (specify)
210,q7_9,"Q7-9. Zadnji put kada ste imali ili usvojili dijete, je li to bila vaša želja il",Q7-9.,"Zadnji put kada ste imali ili usvojili dijete, je li to bila vaša želja il","The last time you had or adopted a child, was that your wish or"
211,q7_10,"Q7-10. Jeste li zadnji put kada ste imali dijete, osim slobodnih dana, uzeli odm",Q7-10.,"Jeste li zadnji put kada ste imali dijete, osim slobodnih dana, uzeli odm","Did you take a vacation the last time you had a child, apart from days off"
212,q7_10dr,Q7-10dr. Drugo (navesti),Q7-10dr.,Drugo (navesti),Other (specify)
213,q7_10pla,Q7-10pla. unesite dane plaćenog odsustva,Q7-10pla.,unesite dane plaćenog odsustva,enter the days of paid leave
214,q7_10nep,Q7-10nep. unesite dane neplaćenog odsustva,Q7-10nep.,unesite dane neplaćenog odsustva,enter unpaid leave days
215,q7_11,"Q7-11. Ako niste uzeli odmor, zašto niste?",Q7-11.,"Ako niste uzeli odmor, zašto niste?","If you haven’t taken a vacation, why haven’t you?"
216,q7_11dr,Q7-11dr. Drugo (navesti),Q7-11dr.,Drugo (navesti),Other (specify)
217,q7_12,"Q7-12. Ako ste bili na trudničkom odsustvu, kada ste bili kući s djetetom jeste ",Q7-12.,"Ako ste bili na trudničkom odsustvu, kada ste bili kući s djetetom jeste ","If you were on maternity leave, when you were home with the baby it was"
218,q7_12dr,Q7-12dr. Drugo (navesti),Q7-12dr.,Drugo (navesti),Other (specify)
219,q7_13,Q7-13. Smatrate li da je ovaj period koji ste proveli u kući s djetetom kasnije ,Q7-13.,Smatrate li da je ovaj period koji ste proveli u kući s djetetom kasnije ,Do you feel that this period you spent at home with the child is later
220,q7_14,Q7-14. Koliko dana/sedmica/mjeseci odmora (plaćenog ili neplaćenog) je vaša part,Q7-14.,Koliko dana/sedmica/mjeseci odmora (plaćenog ili neplaćenog) je vaša part,How many days / weeks / months of vacation (paid or unpaid) is your part
221,q7_14dr,Q7-14dr. Drugo (navesti),Q7-14dr.,Drugo (navesti),Other (specify)
222,q7_14pla,Q7-14pla. unesite dane plaćenog odmora partnerke (partnera),Q7-14pla.,unesite dane plaćenog odmora partnerke (partnera),enter the days of paid leave of the partner (partners)
223,q7_14nep,Q7-14nep. unesite dane neplaćenog odmora partnerke (partnera),Q7-14nep.,unesite dane neplaćenog odmora partnerke (partnera),enter unpaid vacation days of partner (s)
224,q7_15,Q7-15. Jeste li pratili majku(e) svojeg djeteta (djece) na kontrole za vrijeme p,Q7-15.,Jeste li pratili majku(e) svojeg djeteta (djece) na kontrole za vrijeme p,Did you accompany the mother (s) of your child (ren) to checkups during p
225,q7_16,Q7-16. Zbog svog posla provodim premalo vremena sa svojom djecom.,Q7-16.,Zbog svog posla provodim premalo vremena sa svojom djecom.,"Because of my job, I spend too little time with my children."
226,q7_17,Q7-17. Radio bih manje ako bi to značilo da bih mogao više vremena provoditi s d,Q7-17.,Radio bih manje ako bi to značilo da bih mogao više vremena provoditi s d,I would work less if it meant I could spend more time with d
227,q7_18,"Q7-18. Kada se sve uzme u obzir, imam najveću odgovornost što se tiče zarađivanj",Q7-18.,"Kada se sve uzme u obzir, imam najveću odgovornost što se tiče zarađivanj","All things considered, I have the biggest responsibility when it comes to making money"
228,q7_19,Q7-19. Bojim se da bih provodio dosta manje vremena s djecom kada bi se veza s p,Q7-19.,Bojim se da bih provodio dosta manje vremena s djecom kada bi se veza s p,I’m afraid I would spend a lot less time with the kids when the connection with p
229,q7_20,Q7-20. Moja uloga u brizi oko djeteta je najčešće kao pomagač.,Q7-20.,Moja uloga u brizi oko djeteta je najčešće kao pomagač.,My role in caring for a child is most often as a helper.
230,q7_21,Q7-21. Svakodnevna briga o djetetu.,Q7-21.,Svakodnevna briga o djetetu.,Daily child care.
231,q7_22,Q7-22. Ostajanje kući s djetetom kada je bolesno.,Q7-22.,Ostajanje kući s djetetom kada je bolesno.,Staying home with a child when he is sick.
232,q7_23,Q7-23. Odlazak po dijete u školu ili vrtić.,Q7-23.,Odlazak po dijete u školu ili vrtić.,Going to pick up a child at school or kindergarten.
233,q7_24,Q7-24. Odvođenje djeteta na slobodne aktivnosti.,Q7-24.,Odvođenje djeteta na slobodne aktivnosti.,Taking the child to leisure activities.
234,q7_25,Q7-25. djeca 0-5 god. starosti koja žive s vama - Koliko često se igrate s djeco,Q7-25.,djeca 0-5 god. starosti koja žive s vama - Koliko često se igrate s djeco,children 0-5 years ages living with you - How often you play with children
235,q7_26,Q7-26. djeca 0-5 god. starosti koja žive s vama - Koliko često kuhate ili pripre,Q7-26.,djeca 0-5 god. starosti koja žive s vama - Koliko često kuhate ili pripre,children 0-5 years ages living with you - How often you cook or prepare
236,q7_27,Q7-27. djeca 0-5 god. starosti koja žive s vama - Koliko često mijenjate pelene ,Q7-27.,djeca 0-5 god. starosti koja žive s vama - Koliko često mijenjate pelene ,children 0-5 years ages living with you - How often you change diapers
237,q7_28,Q7-28. djeca 0-5 god. starosti koja žive s vama - Koliko često kupate djecu?,Q7-28.,djeca 0-5 god. starosti koja žive s vama - Koliko često kupate djecu?,children 0-5 years ages living with you - How often do you bathe children?
238,q7_29,Q7-29. djeca 6-13 god. starosti koja žive s vama - Koliko često se igrate s djec,Q7-29.,djeca 6-13 god. starosti koja žive s vama - Koliko često se igrate s djec,children 6-13 years ages living with you - How often do you play with children
239,q7_30,Q7-30. djeca 6-13 god. starosti koja žive s vama - Koliko često razgovarate o li,Q7-30.,djeca 6-13 god. starosti koja žive s vama - Koliko često razgovarate o li,children 6-13 years old age living with you - How often do you talk about whether
240,q7_31,Q7-31. djeca 6-13 god. starosti koja žive s vama - Koliko često s djecom fizički,Q7-31.,djeca 6-13 god. starosti koja žive s vama - Koliko često s djecom fizički,children 6-13 years ages living with you - How often with children physically
241,q7_32,Q7-32. djeca 6-13 god. starosti koja žive s vama - Koliko često im pomažete sa š,Q7-32.,djeca 6-13 god. starosti koja žive s vama - Koliko često im pomažete sa š,children 6-13 years old age living with you - How often do you help them with sh
242,q7_33,Q7-33. djeca 6-13 god. starosti koja žive s vama - Koliko često kuhate ili pripr,Q7-33.,djeca 6-13 god. starosti koja žive s vama - Koliko često kuhate ili pripr,children 6-13 years ages living with you - How often do you cook or prep
243,q7_34,Q7-34. djeca 6-13 god. starosti koja žive s vama - Koliko često perete odjeću za,Q7-34.,djeca 6-13 god. starosti koja žive s vama - Koliko često perete odjeću za,children 6-13 years ages living with you - How often do you wash clothes for
244,q7_35,Q7-35. Koliko dana u sedmici viđate vaše biološko dijete koje ne živi s vama?,Q7-35.,Koliko dana u sedmici viđate vaše biološko dijete koje ne živi s vama?,How many days a week do you see your biological child not living with you?
245,q7_36,Q7-36. Uzdržavate li finansijski vaše biološko dijete/djecu koja ne žive s vama?,Q7-36.,Uzdržavate li finansijski vaše biološko dijete/djecu koja ne žive s vama?,Do you financially support your biological child / children who do not live with you?
246,q8_1,Q8-1. Jeste li ikada ošamarili partnerku ili na nju bacili nešto što ju je moglo,Q8-1.,Jeste li ikada ošamarili partnerku ili na nju bacili nešto što ju je moglo,Have you ever slapped your partner or thrown something at her that could have made her
247,q8_2,Q8-2. Jeste li ikada gurnuli partnerku ?,Q8-2.,Jeste li ikada gurnuli partnerku ?,Have you ever pushed your partner?
248,q8_3,Q8-3. Jeste li ikada udarili partnerku šakom ili s nečim drugim što ju je moglo ,Q8-3.,Jeste li ikada udarili partnerku šakom ili s nečim drugim što ju je moglo ,Have you ever punched your partner with your fist or with something else that could have hit her
249,q8_4,"Q8-4. Jeste li ikada udarili nogom, vukli, istukli, gušili ili nanijeli opekotin",Q8-4.,"Jeste li ikada udarili nogom, vukli, istukli, gušili ili nanijeli opekotin","Have you ever kicked, dragged, beaten, suffocated or inflicted a burn"
250,q8_5,Q8-5. Jeste li ikada prijetili da ćete upotrijebiti ili ste upotrijebili pištolj,Q8-5.,Jeste li ikada prijetili da ćete upotrijebiti ili ste upotrijebili pištolj,Have you ever threatened to use or have you used a gun
251,q8_6,Q8-6. Imate li muškog prijatelja koji koristi fizičko nasilje protiv svoje partn,Q8-6.,Imate li muškog prijatelja koji koristi fizičko nasilje protiv svoje partn,Do you have a male friend who uses physical violence against his partner
252,q8_7,Q8-7. Da li bi mogli dovesti u pitanje/prigovoriti njegovom ponašanju?,Q8-7.,Da li bi mogli dovesti u pitanje/prigovoriti njegovom ponašanju?,Could they question / object to his behavior?
253,q8_8,Q8-8. Šta bi učinili da vidite muškog prijatelja kako vrši nasilje nad ženom?,Q8-8.,Šta bi učinili da vidite muškog prijatelja kako vrši nasilje nad ženom?,What would you do to see a male friend committing violence against a woman?
254,q8_9,Q8-9. Šta biste učinili da vidite nekog nepoznatog muškarca da vrši nasilje nad ,Q8-9.,Šta biste učinili da vidite nekog nepoznatog muškarca da vrši nasilje nad ,What would you do to see an unknown man committing violence against you
255,q8_10,Q8-10. Jeste li ikada razgovarali sa vašim sinom ili s dječakom za kojega se bri,Q8-10.,Jeste li ikada razgovarali sa vašim sinom ili s dječakom za kojega se bri,Have you ever talked to your son or the boy he cares about
256,q9_1,"Q9-1. Kada ste zadnji put potražili zdravstvenu pomoć u zdravstvenoj ustanovi, u",Q9-1.,"Kada ste zadnji put potražili zdravstvenu pomoć u zdravstvenoj ustanovi, u","When was the last time you sought medical help at a health care facility, in"
257,q9_2,"Q9-2. Zadnji put kada ste potražili zdravstvenu pomoć, koji je bio glavni razlog",Q9-2.,"Zadnji put kada ste potražili zdravstvenu pomoć, koji je bio glavni razlog","The last time you sought medical help, which was the main reason"
258,q9_2dr,Q9-2dr. Drugo (navesti),Q9-2dr.,Drugo (navesti),Other (specify)
259,q9_3,"Q9-3. Ako ste iznad 40 godina starosti, jeste li ikada išli na pregled prostate?",Q9-3.,"Ako ste iznad 40 godina starosti, jeste li ikada išli na pregled prostate?","If you are over 40, have you ever had a prostate exam?"
260,q9_4,Q9-4. Jeste li se ikada testirali na HIV?,Q9-4.,Jeste li se ikada testirali na HIV?,Have you ever been tested for HIV?
261,q9_5,Q9-5. Jeste li uzeli rezultat ili se vratili po njega?,Q9-5.,Jeste li uzeli rezultat ili se vratili po njega?,Did you take the result or come back for it?
262,q9_6,Q9-6. Je li vaša partnerka imala abortus?,Q9-6.,Je li vaša partnerka imala abortus?,Did your partner have an abortion?
263,q9_7,Q9-7. Jeste li ikada učestvovali u odluci vaše partnerke da izvrši abortus?,Q9-7.,Jeste li ikada učestvovali u odluci vaše partnerke da izvrši abortus?,Have you ever been involved in your partner's decision to have an abortion?
264,q9_8,Q9-8. Jeste li partnerki pružili finansijsku pomoć za izvršenje abortusa? (Ako s,Q9-8.,Jeste li partnerki pružili finansijsku pomoć za izvršenje abortusa? (Ako s,Have you provided financial assistance to your partner to perform an abortion? (If s
265,q9_9,Q9-9. Jeste li išli s partnerkom na abortus? (Ako se dogodilo više od jednog put,Q9-9.,Jeste li išli s partnerkom na abortus? (Ako se dogodilo više od jednog put,Did you go to an abortion with your partner? (If it happened more than once
266,q9_10,Q9-10. Zadovoljan sam svojim tijelom.,Q9-10.,Zadovoljan sam svojim tijelom.,I am happy with my body.
267,q9_11,Q9-11. Držim da moj život nije ni od kakve koristi nikome.,Q9-11.,Držim da moj život nije ni od kakve koristi nikome.,I hold that my life is of no use to anyone.
268,q9_12,Q9-12. Sve skupa imam puno razloga da budem ponosan.,Q9-12.,Sve skupa imam puno razloga da budem ponosan.,All in all I have a lot of reasons to be proud.
269,q9_13,Q9-13. Imam dobar seksualni život.,Q9-13.,Imam dobar seksualni život.,I have a good sex life.
270,q9_14,Q9-14. Ponekad kada sam sa prijateljima osjećam se potčinjeno.,Q9-14.,Ponekad kada sam sa prijateljima osjećam se potčinjeno.,Sometimes when I’m with friends I feel submissive.
271,q9_15_1,Q9-15.: Ne,Q9-15.:,Ne,Not
272,q9_15_2,Q9-15.: Partnerka- djevojka- partner,Q9-15.:,Partnerka- djevojka- partner,Partner-girl-partner
273,q9_15_3,Q9-15.: Rodbina,Q9-15.:,Rodbina,Relatives
274,q9_15_4,Q9-15.: Profesionalna pomoć,Q9-15.:,Profesionalna pomoć,Professional help
275,q9_15_5,Q9-15.: Obitelj,Q9-15.:,Obitelj,Family
276,q9_15_6,Q9-15.: Profesor-Socijalni radnik,Q9-15.:,Profesor-Socijalni radnik,Professor-Social Worker
277,q9_15_7,Q9-15.: Doktor.,Q9-15.:,Doktor.,Doctor.
278,q9_15_8,Q9-15.: Sveštenik-religijski vođa,Q9-15.:,Sveštenik-religijski vođa,Priest-religious leader
279,q9_15_9,Q9-15.: Prijateljice,Q9-15.:,Prijateljice,Friends
280,q9_15_10,Q9-15.: Prijatelji,Q9-15.:,Prijatelji,Friends
281,q9_15_11,Q9-15.: Osoba koja se bavi alternativnom medicinom,Q9-15.:,Osoba koja se bavi alternativnom medicinom,A person who practices alternative medicine
282,q9_15_12,Q9-15.: Neko drugi,Q9-15.:,Neko drugi,Someone else
283,q9_16,Q9-16. Stres,Q9-16.,Stres,Stress
284,q9_17,Q9-17. Depresija,Q9-17.,Depresija,Depression
285,q9_18,Q9-18. Suicidalne misli,Q9-18.,Suicidalne misli,Suicidal thoughts
286,q9_19,Q9-19. Promjene u kilaži,Q9-19.,Promjene u kilaži,Changes in weight
287,q9_20,Q9-20. Problemi sa želucem/probavom,Q9-20.,Problemi sa želucem/probavom,Stomach / digestion problems
288,q9_21,Q9-21. Glavobolje,Q9-21.,Glavobolje,Headaches
289,q9_22,Q9-22. Gubitak seksualne želje,Q9-22.,Gubitak seksualne želje,Loss of sexual desire
290,q9_23,Q9-23. Zdravstveni problem vezan za posao ili povreda na poslu,Q9-23.,Zdravstveni problem vezan za posao ili povreda na poslu,Work-related health problem or work-related injury
291,q9_24_1,"Q9-24.: Da, kao rezultat povrede",Q9-24.:,"Da, kao rezultat povrede","Yes, as a result of injury"
292,q9_24_2,"Q9-24.: Da, kao rezultat nasilja",Q9-24.:,"Da, kao rezultat nasilja","Yes, as a result of violence"
293,q9_24_3,"Q9-24.: Da, kao rezultat saobraćajne ili neke druge nezgode",Q9-24.:,"Da, kao rezultat saobraćajne ili neke druge nezgode","Yes, as a result of a traffic accident or some other accident"
294,q9_24_4,"Q9-24.: Da, kao rezultat bolesti",Q9-24.:,"Da, kao rezultat bolesti","Yes, as a result of illness"
295,q9_24_5,Q9-24.: Ne,Q9-24.:,Ne,Not
296,q9_25,Q9-25. Smatrate li da su raspoložive zdravstvene usluge koje koristite prilagođe,Q9-25.,Smatrate li da su raspoložive zdravstvene usluge koje koristite prilagođe,Do you feel that the health services available that you are using are customizable
297,q10_1,Q10-1. Jeste li ikada nekoga pokrali?,Q10-1.,Jeste li ikada nekoga pokrali?,Have you ever stolen someone?
298,q10_2,Q10-2. Jeste li ikada bili uključeni u tuču nožem ili nekim drugim oružjem?,Q10-2.,Jeste li ikada bili uključeni u tuču nožem ili nekim drugim oružjem?,Have you ever been involved in a fight with a knife or some other weapon?
299,q10_3,Q10-3. Jeste li ikada bili član bande?,Q10-3.,Jeste li ikada bili član bande?,Have you ever been a gang member?
300,q10_4,Q10-4. Posjedujete li vatreno oružje?,Q10-4.,Posjedujete li vatreno oružje?,Do you own a firearm?
301,q10_5,Q10-5. Jeste li ikada bili uhapšeni?,Q10-5.,Jeste li ikada bili uhapšeni?,Have you ever been arrested?
302,q10_6,Q10-6. Koliko puta ste bili uhapšeni?,Q10-6.,Koliko puta ste bili uhapšeni?,How many times have you been arrested?
303,q10_7,Q10-7. Jeste li bili u zatvoru?,Q10-7.,Jeste li bili u zatvoru?,Have you been to jail?
304,q10_8,Q10-8. Koliko često popijete alkoholno piće?,Q10-8.,Koliko često popijete alkoholno piće?,How often do you drink alcohol?
305,q10_9,Q10-9. Koliko često popijete 5 ili više alkoholnih pića u jednoj prilici?,Q10-9.,Koliko često popijete 5 ili više alkoholnih pića u jednoj prilici?,How often do you drink 5 or more alcoholic beverages on one occasion?
306,q10_10,Q10-10. Koliko puta ste koristili marihuanu tokom posljednjih 12 mjeseci?,Q10-10.,Koliko puta ste koristili marihuanu tokom posljednjih 12 mjeseci?,How many times have you used marijuana in the last 12 months?
307,q10_11,Q10-11. Neko vas je lupio ili udario.,Q10-11.,Neko vas je lupio ili udario.,Someone hit you or hit you.
308,q10_12,Q10-12. Neko vam je prijetio nožem ili drugim hladnim oružjem.,Q10-12.,Neko vam je prijetio nožem ili drugim hladnim oružjem.,Someone threatened you with a knife or other cold weapon.
309,q10_13,Q10-13. Neko vam je prijetio pištoljem.,Q10-13.,Neko vam je prijetio pištoljem.,Someone threatened you with a gun.
310,q10_14,Q10-14. Drugo,Q10-14.,Drugo,Else
311,q10_14dr,Q10-14dr. Drugo (navesti),Q10-14dr.,Drugo (navesti),Other (specify)
312,q10_15,Q10-15. Jeste li ikada imali seksualni odnos ili učinili nešto seksualno s drugi,Q10-15.,Jeste li ikada imali seksualni odnos ili učinili nešto seksualno s drugi,Jeste li ikada imali seksualni odnos ili učinili nešto seksualno s drugi
